idx,rot_sign,SMILES,point_group,is_point_group_chiral,point_group_noH,is_point_group_noH_chiral
000107,1,COc1ccc2cc1Oc1ccc(cc1)CC1=NCCc3cc(OC)c(OC)c(c31)Oc1cc3c(cc1OC)CCN(C)[C@@H]3C2,C1,True,C1,True
000108,1,CC1(C)[C@@]2(C)CC[C@]1(Br)C(=O)OC2=O,C1,True,C1,True
000109,1,Cn1cncc1C[C@H]1COC(=O)C1,C1,True,C1,True
000110,1,O=C1C[C@@H](C(=O)O)[C@@H](C(=O)O)O1,C1,True,C1,True
000111,1,Oc1ccc2c(c1)OC[C@@]1(O)Cc3cc(O)c(O)cc3[C@@H]21,C1,True,C1,True
000112,1,COc1cc([C@@H]2c3cc4c(cc3C[C@@H]3COC(=O)[C@H]32)OCO4)cc(OC)c1OC,C1,True,C1,True
000113,1,O=C1C[C@@H]2CCCN3CCc4c(n1c1ccccc41)[C@@H]23,C1,True,C1,True
000114,1,COc1c(O)ccc2c1-c1c3c(cc4c1[C@H](C2)NCC4)OCO3,C1,True,C1,True
000115,1,CCC[C@]1(c2cccc(O)c2)CCN(C)C[C@@H]1C,C1,True,C1,True
000116,1,C[C@H]1CCC[C@H](C)N1,C1,True,C1,True
000117,1,CCCC[C@H](C)OC,C1,True,C1,True
000118,1,CCC[C@H](N)CC(=O)O,C1,True,C1,True
000119,1,CO[C@H](CC(=O)O)C(=O)O,C1,True,C1,True
000120,1,COC(=O)CC[C@@H](C)CC(=O)OC,C1,True,C1,True
000121,1,C[C@@H](SS[C@H](C)C(=O)O)C(=O)O,C1,True,C1,True
000122,1,CC1=C2CCC(=O)[C@@]2(C)CCC1=O,C1,True,C1,True
000123,1,C=C1CC[C@@H]2[C@H]([C@@H]3[C@@H](C)CC[C@@H]13)C2(C)C,C1,True,C1,True
000124,1,C[C@@H]1CC(=O)C=C2CC[C@@H](C(C)(C)Cl)C[C@]21C,C1,True,C1,True
000125,1,CC1=C2CC[C@H](C)[C@H]2[C@H]2[C@@H](CC1)C2(C)C,C1,True,C1,True
000126,1,CC(C)(C)O[C@H]1CCCC2=CC(=O)CC[C@@]21C,C1,True,C1,True
000127,1,Cc1ccc2c(c1)C(C)(C)CCC[C@@H]2C,C1,True,C1,True
000128,1,C[C@H]1C[C@@H](O)[C@@H]2C[C@H]1C2(C)C,C1,True,C1,True
000129,1,CC(C)[C@H]1CC=C(C=O)CC1,C1,True,C1,True
000130,1,CC(=O)O[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@H]1CCC(=O)C=C1C[C@H]3C,C1,True,C1,True
000131,1,COC(=O)[C@H]1C=C[C@@H](NC(C)=O)C1,C1,True,C1,True
000132,1,COC(=O)C1C[C@@H](C)CC1=O,C1,True,C1,True
000133,1,[2H][C@@H](C)c1ccccc1,Cs,False,Cs,False
000134,1,C[C@]12CC[C@H](CC1=O)[C@]2(C)CBr,C1,True,C1,True
000135,1,C[C@]12CC[C@H]([C@H](Br)C1=O)[C@@]2(C)CBr,C1,True,C1,True
000136,1,OCCCCCCCCCCC[C@H]1C=CCC1,C1,True,C1,True
000137,1,CC[C@H](C)c1cccnc1,C1,True,C1,True
000138,1,CC1(C)[C@@H]2CCC1(CS(=O)(=O)Cl)C(=O)C2,C1,True,C1,True
000139,1,Cc1ccc([S@](=O)/C=C\c2ccccc2)cc1,C1,True,C1,True
000140,1,O=C1C=C[C@@H]2O[C@@H](c3ccccc3)[C@H](O)[C@@H]2O1,C1,True,C1,True
