id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed,weights,weights_signed,specific_rotation_computed_abs,triple_product,if_computed_rotation_positive,if_triple_positive
2050827,CC(=O)\C=C\[C@@]1(O)C(C)=CC(=O)CC1(C)C,CC(=O)/C=C/[C@@]1(O)C(C)=CC(=O)CC1(C)C,221.6,140.09,222.284,222.284,140.09,41.6445420482956,1.0,1.0
2208227,OC[C@H]1C[C@@H]1C1=CC=CC=C1,OC[C@H]1C[C@@H]1c1ccccc1,73.75,178.92,148.205,148.205,178.92,-11.6519789329222,1.0,1.0
2251978,CC(C)[C@@](O)(CO)C1=CC=CC=C1,CC(C)[C@@](O)(CO)c1ccccc1,-19,68.32,180.247,180.247,68.32,-34.7143803224621,1.0,1.0
2323323,C[C@H]1CCCC(=O)C1,C[C@H]1CCCC(=O)C1,-9.7,-16.01,112.172,-112.172,16.01,-12.2446737458666,-1.0,1.0
2323817,O=C1CC[C@@H]2CC[C@H]12,O=C1CC[C@@H]2CC[C@H]12,329,398.11,110.156,110.156,398.11,10.9089165933752,1.0,1.0
2324133,O[C@@H]1CCCCCC=C1,O[C@H]1C=CCCCCC1,6.4,317.84,126.199,126.199,317.84,13.7052616676997,1.0,1.0
2326819,CC[C@@](O)(CO)C1=CC=CC=C1,CC[C@@](O)(CO)c1ccccc1,-2,49.86,166.22,166.22,49.86,-29.4940489083038,1.0,1.0
2329658,[H][C@@](O)(C1=CC=CC=C1)C1=CC=C(C)C=C1,Cc1ccc([C@H](O)c2ccccc2)cc1,16.35,338.47,198.265,198.265,338.47,-37.912914894805,1.0,1.0
2330153,[H][C@@](O)(C1CCCCC1)C1=CC=C(C)C=C1,Cc1ccc([C@H](O)C2CCCCC2)cc1,28,45.99,204.313,204.313,45.99,41.2837478985366,1.0,1.0
2331265,O[C@@H]1[C@@H](CCC2=C1C=CC=C2)C1=CC=CC=C1,O[C@H]1c2ccccc2CC[C@H]1c1ccccc1,162,53.58,224.303,224.303,53.58,-36.2597792428889,1.0,1.0
2365204,[H][C@@]12C[C@@H](CCC(C)=C1CC[C@@H]2C)C(C)(C)O,CC1=C2CC[C@H](C)[C@@H]2C[C@H](C(C)(C)O)CC1,2,0.76,222.372,222.372,0.76,-44.2116860097875,1.0,1.0
2408992,[H][C@@](N)(C#N)C(C)C,CC(C)[C@H](N)C#N,-8.3,-38.78,98.149,-98.149,38.78,-5.97000738787044,-1.0,1.0
2413051,CC[S@@](=O)C1=CC=C(C)C=C1,CC[S@@](=O)c1ccc(C)cc1,145,467.11,168.261,168.261,467.11,-13.7313645521285,1.0,1.0
2416152,C[C@H]([C@@H](O)C1=CC=CC=C1)N(=O)=O,C[C@H]([C@@H](O)c1ccccc1)[N+](=O)[O-],1.1,-32.81,181.191,-181.191,32.81,-27.2356541782923,-1.0,1.0
2416728,[H][C@](O)(C1=CC=C(Cl)C=C1)[C@@]([H])(C)N(=O)=O,C[C@H]([C@@H](O)c1ccc(Cl)cc1)[N+](=O)[O-],3.7,-18,215.636,-215.636,18,30.154707506385,-1.0,1.0
2418567,[H][C@](O)(C1=C(OC)C=CC=C1)[C@@]([H])(C)N(=O)=O,COc1ccccc1[C@H](O)[C@@H](C)[N+](=O)[O-],0.9,129.14,211.217,211.217,129.14,-47.2296577535015,1.0,1.0
2444570,CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(N)=S,CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(N)=S,98.2,165.37,215.362,215.362,165.37,24.423500389882,1.0,1.0
2500176,[H][C@@](C)(CO)C1=CC=CC=C1,C[C@H](CO)c1ccccc1,-10.2,-47.81,136.194,-136.194,47.81,-22.3098153740613,-1.0,1.0
2523675,CC1(C)CCC[C@@]1(C)C1=CC=C(CO)C=C1,CC1(C)CCC[C@@]1(C)c1ccc(CO)cc1,-89,122,218.34,218.34,122,33.7039344631427,1.0,1.0
2554147,[H][C@@](CC)(CO)C1=CC=CC=C1,CC[C@H](CO)c1ccccc1,-6.5,58.51,150.221,150.221,58.51,24.6245877803181,1.0,1.0
2554409,C[C@@](O)(CO)C1=CC=CC=C1,C[C@@](O)(CO)c1ccccc1,6,22.34,152.193,152.193,22.34,21.0007525718112,1.0,1.0
2554415,[H][C@@](C)(O)C1=CC=C(OC)C=C1,COc1ccc([C@H](C)O)cc1,-8.15,20.38,152.193,152.193,20.38,22.3087445112384,1.0,1.0
2555977,O[C@H]1CCCC[C@@H]1SC1=CC=CC=C1,O[C@H]1CCCC[C@@H]1Sc1ccccc1,61,316.84,208.326,208.326,316.84,34.827779995923,1.0,1.0
2562645,O[C@@H]1[C@H](CC2=CC=CC=C2)CCC2=CC=CC=C12,O[C@H]1c2ccccc2CC[C@H]1Cc1ccccc1,83.73,49.82,238.33,238.33,49.82,59.7003900609552,1.0,1.0
2612996,C[C@]1(C[C@H]1C=O)C1=CC=CC=C1,C[C@@]1(c2ccccc2)C[C@H]1C=O,-114.3,72.52,160.216,160.216,72.52,20.1331678739244,1.0,1.0
2615578,[H][C@](C)(CC(=O)CC(C)C)C1=CC=C(C)C=C1,Cc1ccc([C@@H](C)CC(=O)CC(C)C)cc1,30.3,68.74,218.34,218.34,68.74,25.2065327292627,1.0,1.0
2616742,COC(=O)[C@@]1(Br)C[C@H]1C1=CC=CC=C1,COC(=O)[C@@]1(Br)C[C@H]1c1ccccc1,-115.9,-107.88,255.111,-255.111,107.88,-36.7613159974132,-1.0,1.0
2690704,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1C(O)=O,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1C(=O)O,-1.35,-55.45,184.279,-184.279,55.45,31.9630547816303,-1.0,1.0
2693607,[H][C@@](C)(CCCCCC)OC(=O)C1=CC=CC=C1,CCCCCC[C@@H](C)OC(=O)c1ccccc1,-33,-57.08,234.339,-234.339,57.08,83.3114304258538,-1.0,1.0
