id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed
35170514,CCC[C@@H](C=C)C1=NC2=CC=CC=C2C=C1,C=C[C@H](CCC)c1ccc2ccccc2n1,12.2,468.22
35170516,CCC[C@@H](C=C)C1=NC2=CC=C(C)C=C2C=C1,C=C[C@H](CCC)c1ccc2cc(C)ccc2n1,32.6,453.93
35170518,CCC[C@@H](C=C)C1=NC2=C(OC)C=CC=C2C=C1,C=C[C@H](CCC)c1ccc2cccc(OC)c2n1,-6.9,456.88
35170520,C=C[C@H](C1CCCCC1)C1=NC2=CC=CC=C2C=C1,C=C[C@@H](c1ccc2ccccc2n1)C1CCCCC1,28.2,-364.68
35170522,CCC[C@@H](C=C)C1=NC(=CC=C1)C1=CC=CC=C1,C=C[C@H](CCC)c1cccc(-c2ccccc2)n1,14.3,-36.92
35170523,CCC[C@@H](C=C)C1=NC=CC(=C1)C1=CC=CC=C1,C=C[C@H](CCC)c1cc(-c2ccccc2)ccn1,15.7,-81.09
35177004,COCO[C@@H]1C=C[C@@H](O[C@H]1C)C1=CC=CC(C)=C1,COCO[C@@H]1C=C[C@H](c2cccc(C)c2)O[C@H]1C,60.9,-185.45
35177015,COCO[C@@H]1C=C[C@@H](O[C@H]1C)C1=CC=C(O)C=C1,COCO[C@@H]1C=C[C@H](c2ccc(O)cc2)O[C@H]1C,16.9,84.85
35217940,C[C@@H]1CC[C@@H](C(=C)CCl)C2=C1OC=C2,C=C(CCl)[C@@H]1CC[C@@H](C)c2occc21,20.0,149.61
35351375,C#C[C@@H](ON=CC1=CC=CC=C1)C1=CC=CS1,C#C[C@@H](ON=Cc1ccccc1)c1cccs1,18.0,-27.26
35351376,C#C[C@@H](ON=CC1=CC=CC=C1)C1CCCCC1,C#C[C@@H](ON=Cc1ccccc1)C1CCCCC1,11.3,-330.61
35351378,CC1=CC(C=NO[C@H](C#C)C2=CC=CC=C2)=CC=C1,C#C[C@@H](ON=Cc1cccc(C)c1)c1ccccc1,5.1,61.97
35351379,CC1=CC=C(C=NO[C@H](C#C)C2=CC=CC=C2)C=C1,C#C[C@@H](ON=Cc1ccc(C)cc1)c1ccccc1,4.5,179.89
35351380,FC1=CC=C(C=NO[C@H](C#C)C2=CC=CC=C2)C=C1,C#C[C@@H](ON=Cc1ccc(F)cc1)c1ccccc1,4.7,165.02
35351392,C#C[C@@H](ON=CC1=CC=CC=C1)C1=CC=CC=C1,C#C[C@@H](ON=Cc1ccccc1)c1ccccc1,5.2,-75.3
35351413,FC1=CC=C(C=C1)[C@H](ON=CC1=CC=CC=C1)C#C,C#C[C@@H](ON=Cc1ccccc1)c1ccc(F)cc1,4.5,180.22
35375224,CC[C@@H](C#CC1=CC=C(OC)C=C1)C1=CC=CC=C1,CC[C@@H](C#Cc1ccc(OC)cc1)c1ccccc1,-5.0,16.71
35375268,CC[C@@H](C#CC1=CC=C(C)C=C1)C1=CC=CC=C1,CC[C@@H](C#Cc1ccc(C)cc1)c1ccccc1,-10.9,19.97
35389036,N[C@@H](C\C=C\C1=CC=CC=C1)C1=CC=CC=C1,N[C@@H](C/C=C/c1ccccc1)c1ccccc1,-25.65,143.0
35389037,CC1=CC=C(C=C1)[C@@H](N)C\C=C\C1=CC=CC=C1,Cc1ccc([C@@H](N)C/C=C/c2ccccc2)cc1,-15.7,-184.05
35396740,CC(C)(C)OC(=O)C[C@H](CC=C)C=O,C=CC[C@H](C=O)CC(=O)OC(C)(C)C,-14.55,-139.15
35413848,C[C@@H](CC(=O)N1N=C(C)C=C1C)C1OCCO1,Cc1cc(C)n(C(=O)C[C@H](C)C2OCCO2)n1,1.7,122.09
35419046,OC[C@H](C=C)N1C=C(F)C=CC1=O,C=C[C@@H](CO)n1cc(F)ccc1=O,-3.67,-45.36
35419047,OC[C@H](C=C)N1C=CC(Cl)=CC1=O,C=C[C@@H](CO)n1ccc(Cl)cc1=O,-80.29,-508.24
35419048,OC[C@H](C=C)N1C=C(Br)C=CC1=O,C=C[C@@H](CO)n1cc(Br)ccc1=O,-45.06,-142.35
35419051,OC[C@H](C=C)N1C=C(C=CC1=O)C(F)(F)F,C=C[C@@H](CO)n1cc(C(F)(F)F)ccc1=O,-12.7,-410.04
35419052,OC[C@H](C=C)N1C=CC=C(C#N)C1=O,C=C[C@@H](CO)n1cccc(C#N)c1=O,-10.29,-765.23
35419053,OC[C@H](C=C)N1C=C(C=CC1=O)N(=O)=O,C=C[C@@H](CO)n1cc([N+](=O)[O-])ccc1=O,-4.33,-353.09
35419054,OC[C@H](C=C)N1C=C(C=O)C=CC1=O,C=C[C@@H](CO)n1cc(C=O)ccc1=O,-32.49,-322.75
35419056,COC(=O)C1=CC=CN([C@H](CO)C=C)C1=O,C=C[C@@H](CO)n1cccc(C(=O)OC)c1=O,-33.96,-723.89
35419057,OCC[C@H](C=C)N1C=CC=CC1=O,C=C[C@@H](CCO)n1ccccc1=O,-14.09,93.81
35419058,COC[C@H](C=C)N1C=CC=CC1=O,C=C[C@@H](COC)n1ccccc1=O,-12.56,8.41
