id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed,specific_rotation_computed_abs,specific_rotation_abs,specific_rotation_power,specific_rotation_power_abs,specific_rotation_computed_power,specific_rotation_computed_power_abs,point_group,is_point_group_chiral,point_group_noH,is_point_group_noH_chiral,specific_rotation_sign,specific_rotation_computed_sign
1967907,[H][C@@]12C[C@H](O)C(=C)[C@]1(O)[C@@]1([H])C(C)(C)CC[C@@]1(C)C2,C=C1[C@@H](O)C[C@H]2C[C@]3(C)CCC(C)(C)[C@@H]3[C@@]12O,40.8,-61.75,61.75,40.8,96.43283999999998,96.43283999999998,-145.9492125,145.9492125,C1,True,C1,True,1.0,-1.0
2038251,C[C@H]1CCC(=O)C1,C[C@H]1CCC(=O)C1,-10.8,-218.82,218.82,10.8,-10.599660000000002,10.599660000000002,-214.760889,214.760889,C1,True,C1,True,-1.0,-1.0
2038599,O[C@@H]1CCCC=C1,O[C@H]1C=CCCC1,11.55,-108.58,108.58,11.55,11.335747500000002,11.335747500000002,-106.565841,106.565841,C1,True,C1,True,1.0,-1.0
2039797,[H][C@@](C)(O)C1=CC=CC=C1,C[C@H](O)c1ccccc1,-23.6,-72.49,72.49,23.6,-28.83141199999999,28.83141199999999,-88.55885829999995,88.55885829999995,C1,True,C1,True,-1.0,-1.0
2040677,CC1=CC=C(C=C1)[S@@](C)=O,Cc1ccc([S@@](C)=O)cc1,127.0,360.05,360.05,127.0,195.87718,195.87718,555.319517,555.319517,C1,True,C1,True,1.0,1.0
2042028,[H][C@@](C)(O)C1=CC=C(Cl)C=C1,C[C@H](O)c1ccc(Cl)cc1,-33.3,-70.24,70.24,33.3,-52.151796,52.151796,-110.00426879999999,110.00426879999999,C1,True,C1,True,-1.0,-1.0
2042396,[H][C@@](C)(O)C1=CC2=C(C=CC=C2)C=C1,C[C@H](O)c1ccc2ccccc2c1,-21.9,-15.62,15.62,21.9,-37.717712999999996,37.717712999999996,-26.901857399999994,26.901857399999994,C1,True,C1,True,-1.0,-1.0
2042986,[H][C@](O)(C(C)C)C1=CC=CC=C1,CC(C)[C@H](O)c1ccccc1,-26.07,-46.63,46.63,26.07,-39.16261469999999,39.16261469999999,-70.0480523,70.0480523,C1,True,C1,True,-1.0,-1.0
2047702,C[C@@H]1CCC2=C(C=CC=C2)[C@@H]1O,C[C@@H]1CCc2ccccc2[C@@H]1O,65.83,105.11,105.11,65.83,106.79732559999998,106.79732559999998,170.52205519999995,170.52205519999995,C1,True,C1,True,1.0,1.0
2047993,C[C@H]1CCC2=C1C[C@@H](CC[C@@H]2C)C(C)(C)O,C[C@H]1CC[C@@H](C(C)(C)O)CC2=C1CC[C@@H]2C,-22.0,-46.21,46.21,22.0,-48.92183999999998,48.92183999999998,-102.75810119999997,102.75810119999997,C1,True,C1,True,-1.0,-1.0
2048296,[H][C@](O)(C1CCCCC1)C1=CC=CC=C1,O[C@H](c1ccccc1)C1CCCCC1,-20.92,-43.15,43.15,20.92,-39.80783119999999,39.80783119999999,-82.10840899999995,82.10840899999995,C1,True,C1,True,-1.0,-1.0
2049261,[H][C@]1(CC(=O)C2=CC=CC=C12)C1=CC=CC=C1,O=C1C[C@@H](c2ccccc2)c2ccccc21,64.9,194.57,194.57,64.9,135.16074,135.16074,405.21148199999993,405.21148199999993,C1,True,C1,True,1.0,1.0
2050108,[H][C@]1(O)C2=CC=CC=C2C[C@@]1([H])C1=CC=CC=C1,O[C@H]1c2ccccc2C[C@H]1c1ccccc1,105.71,243.89,243.89,105.71,222.2827596,222.2827596,512.8421364000001,512.8421364000001,C1,True,C1,True,1.0,1.0
2050827,CC(=O)\C=C\[C@@]1(O)C(C)=CC(=O)CC1(C)C,CC(=O)/C=C/[C@@]1(O)C(C)=CC(=O)CC1(C)C,221.6,140.09,140.09,221.6,492.5813439999999,492.5813439999999,311.39765559999995,311.39765559999995,C1,True,C1,True,1.0,1.0
2208227,OC[C@H]1C[C@@H]1C1=CC=CC=C1,OC[C@H]1C[C@@H]1c1ccccc1,73.75,178.92,178.92,73.75,109.3011875,109.3011875,265.16838599999994,265.16838599999994,C1,True,C1,True,1.0,1.0
2251978,CC(C)[C@@](O)(CO)C1=CC=CC=C1,CC(C)[C@@](O)(CO)c1ccccc1,-19.0,68.32,68.32,19.0,-34.24693,34.24693,123.14475039999998,123.14475039999998,C1,True,C1,True,-1.0,1.0
2323323,C[C@H]1CCCC(=O)C1,C[C@H]1CCCC(=O)C1,-9.7,-16.01,16.01,9.7,-10.880683999999999,10.880683999999999,-17.9587372,17.9587372,C1,True,C1,True,-1.0,-1.0
2323817,O=C1CC[C@@H]2CC[C@H]12,O=C1CC[C@@H]2CC[C@H]12,329.0,398.11,398.11,329.0,362.41324000000003,362.41324000000003,438.5420516,438.5420516,C1,True,C1,True,1.0,1.0
2324133,O[C@@H]1CCCCCC=C1,O[C@H]1C=CCCCCC1,6.4,317.84,317.84,6.4,8.076736,8.076736,401.1109016,401.1109016,C1,True,C1,True,1.0,1.0
2326819,CC[C@@](O)(CO)C1=CC=CC=C1,CC[C@@](O)(CO)c1ccccc1,-2.0,49.86,49.86,2.0,-3.3244,3.3244,82.877292,82.877292,C1,True,C1,True,-1.0,1.0
2329658,[H][C@@](O)(C1=CC=CC=C1)C1=CC=C(C)C=C1,Cc1ccc([C@H](O)c2ccccc2)cc1,16.35,338.47,338.47,16.35,32.41632750000001,32.41632750000001,671.0675455000002,671.0675455000002,C1,True,C1,True,1.0,1.0
2330153,[H][C@@](O)(C1CCCCC1)C1=CC=C(C)C=C1,Cc1ccc([C@H](O)C2CCCCC2)cc1,28.0,45.99,45.99,28.0,57.20763999999999,57.20763999999999,93.96354869999999,93.96354869999999,C1,True,C1,True,1.0,1.0
2331265,O[C@@H]1[C@@H](CCC2=C1C=CC=C2)C1=CC=CC=C1,O[C@H]1c2ccccc2CC[C@H]1c1ccccc1,162.0,53.58,53.58,162.0,363.37086000000005,363.37086000000005,120.1815474,120.1815474,C1,True,C1,True,1.0,1.0
2365204,[H][C@@]12C[C@@H](CCC(C)=C1CC[C@@H]2C)C(C)(C)O,CC1=C2CC[C@H](C)[C@@H]2C[C@H](C(C)(C)O)CC1,2.0,0.76,0.76,2.0,4.447439999999999,4.447439999999999,1.6900271999999998,1.6900271999999998,C1,True,C1,True,1.0,1.0
2408992,[H][C@@](N)(C#N)C(C)C,CC(C)[C@H](N)C#N,-8.3,-38.78,38.78,8.3,-8.146367000000001,8.146367000000001,-38.0621822,38.0621822,C1,True,C1,True,-1.0,-1.0
2413051,CC[S@@](=O)C1=CC=C(C)C=C1,CC[S@@](=O)c1ccc(C)cc1,145.0,467.11,467.11,145.0,243.97845,243.97845,785.9639571,785.9639571,C1,True,C1,True,1.0,1.0
2416152,C[C@H]([C@@H](O)C1=CC=CC=C1)N(=O)=O,C[C@H]([C@@H](O)c1ccccc1)[N+](=O)[O-],1.1,-32.81,32.81,1.1,1.9931009999999998,1.9931009999999998,-59.4487671,59.4487671,C1,True,C1,True,1.0,-1.0
2416728,[H][C@](O)(C1=CC=C(Cl)C=C1)[C@@]([H])(C)N(=O)=O,C[C@H]([C@@H](O)c1ccc(Cl)cc1)[N+](=O)[O-],3.7,-18.0,18.0,3.7,7.978532,7.978532,-38.814479999999996,38.814479999999996,C1,True,C1,True,1.0,-1.0
2418567,[H][C@](O)(C1=C(OC)C=CC=C1)[C@@]([H])(C)N(=O)=O,COc1ccccc1[C@H](O)[C@@H](C)[N+](=O)[O-],0.9,129.14,129.14,0.9,1.900953,1.900953,272.76563379999993,272.76563379999993,C1,True,C1,True,1.0,1.0
2444570,CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(N)=S,CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(N)=S,98.2,165.37,165.37,98.2,211.48548399999999,211.48548399999999,356.1441394,356.1441394,C1,True,C1,True,1.0,1.0
2500176,[H][C@@](C)(CO)C1=CC=CC=C1,C[C@H](CO)c1ccccc1,-10.2,-47.81,47.81,10.2,-13.891787999999996,13.891787999999996,-65.11435139999999,65.11435139999999,C1,True,C1,True,-1.0,-1.0
2523675,CC1(C)CCC[C@@]1(C)C1=CC=C(CO)C=C1,CC1(C)CCC[C@@]1(C)c1ccc(CO)cc1,-89.0,122.0,122.0,89.0,-194.32260000000002,194.32260000000002,266.3748,266.3748,C1,True,C1,True,-1.0,1.0
2554147,[H][C@@](CC)(CO)C1=CC=CC=C1,CC[C@H](CO)c1ccccc1,-6.5,58.51,58.51,6.5,-9.764364999999998,9.764364999999998,87.89430709999999,87.89430709999999,C1,True,C1,True,-1.0,1.0
2554409,C[C@@](O)(CO)C1=CC=CC=C1,C[C@@](O)(CO)c1ccccc1,6.0,22.34,22.34,6.0,9.13158,9.13158,33.9999162,33.9999162,C1,True,C1,True,1.0,1.0
2554415,[H][C@@](C)(O)C1=CC=C(OC)C=C1,COc1ccc([C@H](C)O)cc1,-8.15,20.38,20.38,8.15,-12.403729499999999,12.403729499999999,31.016933399999992,31.016933399999992,C1,True,C1,True,-1.0,1.0
2555977,O[C@H]1CCCC[C@@H]1SC1=CC=CC=C1,O[C@H]1CCCC[C@@H]1Sc1ccccc1,61.0,316.84,316.84,61.0,127.07886000000002,127.07886000000002,660.0600984,660.0600984,C1,True,C1,True,1.0,1.0
2562645,O[C@@H]1[C@H](CC2=CC=CC=C2)CCC2=CC=CC=C12,O[C@H]1c2ccccc2CC[C@H]1Cc1ccccc1,83.73,49.82,49.82,83.73,199.55370899999997,199.55370899999997,118.736006,118.736006,C1,True,C1,True,1.0,1.0
2612996,C[C@]1(C[C@H]1C=O)C1=CC=CC=C1,C[C@@]1(c2ccccc2)C[C@H]1C=O,-114.3,72.52,72.52,114.3,-183.12688799999995,183.12688799999995,116.18864319999999,116.18864319999999,C1,True,C1,True,-1.0,1.0
2615578,[H][C@](C)(CC(=O)CC(C)C)C1=CC=C(C)C=C1,Cc1ccc([C@@H](C)CC(=O)CC(C)C)cc1,30.3,68.74,68.74,30.3,66.15702,66.15702,150.08691599999997,150.08691599999997,C1,True,C1,True,1.0,1.0
2616742,COC(=O)[C@@]1(Br)C[C@H]1C1=CC=CC=C1,COC(=O)[C@@]1(Br)C[C@H]1c1ccccc1,-115.9,-107.88,107.88,115.9,-295.67364900000007,295.67364900000007,-275.2137468,275.2137468,C1,True,C1,True,-1.0,-1.0
2690704,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1C(O)=O,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1C(=O)O,-1.35,-55.45,55.45,1.35,-2.4877665,2.4877665,-102.18270550000001,102.18270550000001,C1,True,C1,True,-1.0,-1.0
2693607,[H][C@@](C)(CCCCCC)OC(=O)C1=CC=CC=C1,CCCCCC[C@@H](C)OC(=O)c1ccccc1,-33.0,-57.08,57.08,33.0,-77.33187,77.33187,-133.7607012,133.7607012,C1,True,C1,True,-1.0,-1.0
2802804,[H][C@@](CO)(CC1=CC=CC=C1)N(C)C,CN(C)[C@H](CO)Cc1ccccc1,-17.0,36.19,36.19,17.0,-30.47471,30.47471,64.87527970000001,64.87527970000001,C1,True,C1,True,-1.0,1.0
2937193,[H][C@]1(CC(C)=O)[C@@]([H])(CC(=O)OC)C1(C)C,COC(=O)C[C@@H]1[C@H](CC(C)=O)C1(C)C,-21.7,110.44,110.44,21.7,-43.02285399999999,43.02285399999999,218.96055279999996,218.96055279999996,C1,True,C1,True,-1.0,1.0
2976336,COC(=O)[C@](C)(N)CC1=CC=C2C=CC=CC2=C1,COC(=O)[C@](C)(N)Cc1ccc2ccccc2c1,-30.3,-317.83,317.83,30.3,-73.72171800000001,73.72171800000001,-773.2994598,773.2994598,C1,True,C1,True,-1.0,-1.0
3118129,O[C@@H]1CCCC[C@H]1NC1=CC=CC=C1,O[C@@H]1CCCC[C@H]1Nc1ccccc1,-72.7,-260.18,260.18,72.7,-139.05619800000002,139.05619800000002,-497.65669320000006,497.65669320000006,C1,True,C1,True,-1.0,-1.0
3126377,CC1(C)[C@@H](CC(O)=O)CCC1=C,C=C1CC[C@H](CC(=O)O)C1(C)C,1.69,64.99,64.99,1.69,2.843188399999999,2.843188399999999,109.33657639999996,109.33657639999996,C1,True,C1,True,1.0,1.0
3126390,[H][C@](C)(CCCC(C)C)C1=CC=C(C)C=C1,Cc1ccc([C@@H](C)CCCC(C)C)cc1,25.2,26.75,26.75,25.2,51.497964,51.497964,54.6654975,54.6654975,C1,True,C1,True,1.0,1.0
3126437,CC1(C)[C@@H]2CC[C@@]1(C)[C@@](O)(CC#C)C2,C#CC[C@@]1(O)C[C@H]2CC[C@]1(C)C2(C)C,-3.6,7.98,7.98,3.6,-6.922871999999999,6.922871999999999,15.345699599999998,15.345699599999998,C1,True,C1,True,-1.0,1.0
3138117,[H][C@@](CO)(CC1=CC=CC=C1)NCC1=CC=CC=C1,OC[C@H](Cc1ccccc1)NCc1ccccc1,-23.8,-233.86,233.86,23.8,-57.437492,57.437492,-564.3836924000001,564.3836924000001,C1,True,C1,True,-1.0,-1.0
3193875,[H][C@](C)(O)C1CCCCC1,C[C@@H](O)C1CCCCC1,-2.7,-54.69,54.69,2.7,-3.4618050000000005,3.4618050000000005,-70.1207835,70.1207835,C1,True,C1,True,-1.0,-1.0
3195575,[H][C@](O)(CC=C)C1=CC=CC=C1,C=CC[C@H](O)c1ccccc1,-17.1,-118.31,118.31,17.1,-25.343055,25.343055,-175.34133549999999,175.34133549999999,C1,True,C1,True,-1.0,-1.0
3195628,[H][C@@](C)(Br)CC1=CC=CC=C1,C[C@H](Br)Cc1ccccc1,16.3,6.73,6.73,16.3,32.45183300000001,32.45183300000001,13.398824300000003,13.398824300000003,C1,True,C1,True,1.0,1.0
3196267,CC1(C)[C@@H]2CC[C@@]1(C)[C@@](O)(CC=C)C2,C=CC[C@@]1(O)C[C@H]2CC[C@]1(C)C2(C)C,9.6,85.53,85.53,9.6,18.654527999999996,18.654527999999996,166.20018539999998,166.20018539999998,C1,True,C1,True,1.0,1.0
3196449,OC(=O)[C@@H]1C[C@H]2C[C@@H]1C=C2,O=C(O)[C@@H]1C[C@@H]2C=C[C@H]1C2,134.0,123.84,123.84,134.0,185.14243999999997,185.14243999999997,171.10477439999994,171.10477439999994,C1,True,C1,True,1.0,1.0
3196464,[H][C@@](C)(O)C1=C(OC)C=CC=C1,COc1ccccc1[C@H](C)O,-14.1,-139.43,139.43,14.1,-21.459212999999995,21.459212999999995,-212.20269989999997,212.20269989999997,C1,True,C1,True,-1.0,-1.0
3196954,[H][C@@](O)(CC)CCC1=CC=CC=C1,CC[C@@H](O)CCc1ccccc1,-23.45,-133.65,133.65,23.45,-38.516156,38.516156,-219.51745200000005,219.51745200000005,C1,True,C1,True,-1.0,-1.0
3198944,[H][C@@](C)(N(C)C)[C@@]([H])(O)C1=CC=CC=C1,C[C@@H]([C@@H](O)c1ccccc1)N(C)C,45.3,37.88,37.88,45.3,81.20613899999998,81.20613899999998,67.9048244,67.9048244,C1,True,C1,True,1.0,1.0
3202124,[H][C@@](O)(C1=CC=CC=C1)C1=CC=CC2=C1C=CC=C2,O[C@H](c1ccccc1)c1cccc2ccccc12,40.32,184.58,184.58,40.32,94.4689536,94.4689536,432.4672484,432.4672484,C1,True,C1,True,1.0,1.0
3202444,[H][C@](O)(C1=CC=CC=C1)C1=CC=C(OC)C=C1,COc1ccc([C@@H](O)c2ccccc2)cc1,-6.43,443.46,443.46,6.43,-13.777175199999999,13.777175199999999,950.1751343999999,950.1751343999999,C1,True,C1,True,-1.0,1.0
3204824,[H][C@](C)(OC1=CC=C(Cl)C=C1)C(=O)OCC,CCOC(=O)[C@@H](C)Oc1ccc(Cl)cc1,32.6,156.52,156.52,32.6,74.54805,74.54805,357.92211000000003,357.92211000000003,C1,True,C1,True,1.0,1.0
3537186,C[C@@H](O)C1=NC=CC=C1,C[C@@H](O)c1ccccn1,19.5,38.26,38.26,19.5,24.015224999999997,24.015224999999997,47.11910299999999,47.11910299999999,C1,True,C1,True,1.0,1.0
3538362,C[C@@H](CCO)CC\C=C(/C)CCC=C(C)C,CC(C)=CCC/C(C)=C/CC[C@@H](C)CCO,-26.4,-418.81,418.81,26.4,-59.23843199999998,59.23843199999998,-939.7593827999997,939.7593827999997,C1,True,C1,True,-1.0,-1.0
3542667,CC(C)(C)OC(=O)N1CCC[C@H]1CO,CC(C)(C)OC(=O)N1CCC[C@H]1CO,-36.8,-10.9,10.9,36.8,-74.06588799999997,74.06588799999997,-21.937994,21.937994,C1,True,C1,True,-1.0,-1.0
3545149,CC1(C)OC[C@H](O1)[C@@H](CO)N=N#N,CC1(C)OC[C@@H]([C@@H](CO)N=[N+]=[N-])O1,10.2,74.37,74.37,10.2,19.094298,19.094298,139.21989630000002,139.21989630000002,C1,True,C1,True,1.0,1.0
3549668,COC(=O)[C@@H]1CCCN1C(=O)OC(C)(C)C,COC(=O)[C@@H]1CCCN1C(=O)OC(C)(C)C,-54.3,-58.95,58.95,54.3,-124.49686799999998,124.49686799999998,-135.158202,135.158202,C1,True,C1,True,-1.0,-1.0
