id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed,weights,weights_signed,specific_rotation_computed_abs
2444570,CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(N)=S,CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(N)=S,98.2,165.37,215.362,215.362,165.37
2500176,[H][C@@](C)(CO)C1=CC=CC=C1,C[C@H](CO)c1ccccc1,-10.2,-47.81,136.194,-136.194,47.81
2523675,CC1(C)CCC[C@@]1(C)C1=CC=C(CO)C=C1,CC1(C)CCC[C@@]1(C)c1ccc(CO)cc1,-89.0,122.0,218.34,218.34,122.0
2554147,[H][C@@](CC)(CO)C1=CC=CC=C1,CC[C@H](CO)c1ccccc1,-6.5,58.51,150.22099999999998,150.22099999999998,58.51
2554409,C[C@@](O)(CO)C1=CC=CC=C1,C[C@@](O)(CO)c1ccccc1,6.0,22.34,152.19299999999998,152.19299999999998,22.34
2554415,[H][C@@](C)(O)C1=CC=C(OC)C=C1,COc1ccc([C@H](C)O)cc1,-8.15,20.38,152.19299999999998,152.19299999999998,20.38
2555977,O[C@H]1CCCC[C@@H]1SC1=CC=CC=C1,O[C@H]1CCCC[C@@H]1Sc1ccccc1,61.0,316.84,208.32600000000002,208.32600000000002,316.84
2562645,O[C@@H]1[C@H](CC2=CC=CC=C2)CCC2=CC=CC=C12,O[C@H]1c2ccccc2CC[C@H]1Cc1ccccc1,83.73,49.82,238.32999999999998,238.32999999999998,49.82
2612996,C[C@]1(C[C@H]1C=O)C1=CC=CC=C1,C[C@@]1(c2ccccc2)C[C@H]1C=O,-114.3,72.52,160.21599999999998,160.21599999999998,72.52
2615578,[H][C@](C)(CC(=O)CC(C)C)C1=CC=C(C)C=C1,Cc1ccc([C@@H](C)CC(=O)CC(C)C)cc1,30.3,68.74,218.34,218.34,68.74
2616742,COC(=O)[C@@]1(Br)C[C@H]1C1=CC=CC=C1,COC(=O)[C@@]1(Br)C[C@H]1c1ccccc1,-115.9,-107.88,255.11100000000002,-255.11100000000002,107.88
2690704,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1C(O)=O,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1C(=O)O,-1.35,-55.45,184.279,-184.279,55.45
