run_id,name,epoch,test_rmse,test_score,val_score_best,lr,n_s,n_v,noH,arch,seed,radius,dataset,features,geometry,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,graph_method,weight_decay,max_neighbors,n_conv_layers,target_column,classification,embedding_specs,distance_emb_dim,internal_weights
klsqt7wj,cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-energy-node,345,2.601952314376831,1.7852123975753784,2.0129358768463135,0.001,64,0,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/8_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,False,,16,
nyha7eec,cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-energy-node,321,2.992434024810791,1.9836411476135256,1.9746636152267456,0.001,64,0,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/9_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,False,,16,
sgcx0jql,cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-energy-node,401,3.3999783992767334,2.114154577255249,1.97044837474823,0.001,64,0,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/1_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,False,,16,
t4xa153y,cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-energy-node,413,2.7829949855804443,1.880561351776123,1.9468148946762085,0.001,64,0,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/3_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,False,,16,
v4skf2ze,cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-energy-node,339,2.852330207824707,1.7547050714492798,1.9755948781967163,0.001,64,0,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/6_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,False,,16,
y6zmbosp,cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-energy-node,284,2.822842836380005,2.0439772605895996,1.968616247177124,0.001,64,0,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/2_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,False,,16,
3a13jec1,cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-vector_masked-node,455,2.8695173263549805,1.9972530603408811,1.9785397052764893,0.0005,64,0,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/3_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,False,,16,
40nkym3z,cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-vector_masked-node,444,3.030012607574463,2.1699209213256836,1.8938331604003904,0.0005,64,0,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/2_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,False,,16,
75f9oafw,cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-vector_masked-node,267,3.326653480529785,2.1484808921813965,1.9924123287200928,0.0005,64,0,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/1_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,False,,16,
chog7mrf,cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-vector_masked-node,344,3.213696002960205,2.1606712341308594,1.9070522785186768,0.0005,64,0,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/9_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,False,,16,
